departments,cities,districts,cost,cost_international,days_received,days_late
Amazonas,Chachapoyas,Chachapoyas,12,15,14,5
Amazonas,Chachapoyas,Asuncion,12,15,14,5
Amazonas,Chachapoyas,Balsas,12,15,14,5
Amazonas,Chachapoyas,Cheto,12,15,14,5
Amazonas,Chachapoyas,Chiliquin,12,15,14,5
Amazonas,Chachapoyas,Chuquibamba,12,15,14,5
Amazonas,Chachapoyas,Granada,12,15,14,5
Amazonas,Chachapoyas,Huancas,12,15,14,5
Amazonas,Chachapoyas,La Jalca,12,15,14,5
Amazonas,Chachapoyas,Leimebamba,12,15,14,5
Amazonas,Chachapoyas,Levanto,12,15,14,5
Amazonas,Chachapoyas,Magdalena,12,15,14,5
Amazonas,Chachapoyas,Mariscal Castilla,12,15,14,5
Amazonas,Chachapoyas,Molinopampa,12,15,14,5
Amazonas,Chachapoyas,Montevideo,12,15,14,5
Amazonas,Chachapoyas,Olleros,12,15,14,5
Amazonas,Chachapoyas,Quinjalca,12,15,14,5
Amazonas,Chachapoyas,San Francisco de Daguas,12,15,14,5
Amazonas,Chachapoyas,San Isidro de Maino,12,15,14,5
Amazonas,Chachapoyas,Soloco,12,15,14,5
Amazonas,Chachapoyas,Sonche,12,15,14,5
Amazonas,Bagua,Bagua,12,15,14,5
Amazonas,Bagua,Aramango,12,15,14,5
Amazonas,Bagua,Copallin,12,15,14,5
Amazonas,Bagua,El Parco,12,15,14,5
Amazonas,Bagua,Imaza,12,15,14,5
Amazonas,Bagua,La Peca,12,15,14,5
Amazonas,Bongara,Jumbilla,12,15,14,5
Amazonas,Bongara,Chisquilla,12,15,14,5
Amazonas,Bongara,Churuja,12,15,14,5
Amazonas,Bongara,Corosha,12,15,14,5
Amazonas,Bongara,Cuispes,12,15,14,5
Amazonas,Bongara,Florida,12,15,14,5
Amazonas,Bongara,Jazan,12,15,14,5
Amazonas,Bongara,Recta,12,15,14,5
Amazonas,Bongara,San Carlos,12,15,14,5
Amazonas,Bongara,Shipasbamba,12,15,14,5
Amazonas,Bongara,Valera,12,15,14,5
Amazonas,Bongara,Yambrasbamba,12,15,14,5
Amazonas,Condorcanqui,Nieva,12,15,14,5
Amazonas,Condorcanqui,El Cenepa,12,15,14,5
Amazonas,Condorcanqui,Rio Santiago,12,15,14,5
Amazonas,Luya,Lamud,12,15,14,5
Amazonas,Luya,Camporredondo,12,15,14,5
Amazonas,Luya,Cocabamba,12,15,14,5
Amazonas,Luya,Colcamar,12,15,14,5
Amazonas,Luya,Conila,12,15,14,5
Amazonas,Luya,Inguilpata,12,15,14,5
Amazonas,Luya,Longuita,12,15,14,5
Amazonas,Luya,Lonya Chico,12,15,14,5
Amazonas,Luya,Luya,12,15,14,5
Amazonas,Luya,Luya Viejo,12,15,14,5
Amazonas,Luya,Maria,12,15,14,5
